From: Contemporary deformation in the Yakima fold and thrust belt estimated
with GPS by Robert McCaffrey, Robert W. King, Ray E. Wells, Matthew Lancaster and M. Meghan
Miller

Site Longitude Latitude Elev. East North Up E_sig N_sig U_sig NE_corr.

0112 239.3340 46.9705 584 0.35 1.94 -0.78 0.40 0.46 1.86 -0.002
149F 239.5993 47.7973 464 0.56 0.54 -1.95 0.49 0.66 2.84 0.110
187R 243.8974 44.8961 1514 -1.49 -0.06 -0.67 0.23 0.57 0.99 0.009
1882 239.3350 47.7680 548 0.38 1.07 -3.02 0.20 0.24 7.55 -0.035
1915 237.7817 46.7739 351 2.59 5.85 -0.98 0.73 0.94 3.56 0.083
217U 238.0945 46.5417 260 1.17 4.64 -3.09 0.44 0.57 2.42 0.019
2755 242.0198 45.4060 822 -0.00 -0.32 -3.92 0.61 0.83 2.62 0.024
9801 237.3329 45.0434 106 2.15 5.58 -3.01 0.34 0.39 10.25 -0.061
9802 237.0046 45.2215 28 2.30 5.93 -0.60 0.22 0.26 0.91 -0.040
9803 237.1234 44.9806 42 2.35 6.43 -4.78 0.24 0.28 20.10 -0.068
A46X 242.9528 46.2923 648 -1.28 -0.75 -1.33 0.43 0.58 1.91 0.010
A515 239.5748 48.5938 634 -0.11 0.95 -2.08 0.75 1.02 3.49 0.001
A545 239.2565 45.4745 556 -1.42 1.84 -0.78 0.15 0.17 2.75 -0.007
ACME 237.7964 48.7107 74 3.20 2.95 5.99 1.00 1.28 4.73 -0.025
ADHD 237.3183 48.1605 9 1.10 2.94 20.12 0.66 0.70 37.87 -0.012
AIRP 242.1848 44.8327 1010 -1.73 -0.13 -1.58 0.25 0.30 1.02 -0.035
ANAT 242.8772 46.1479 1048 -1.00 -0.10 -1.84 0.34 0.46 1.52 0.033
ANDR 240.1018 46.4582 982 -0.47 1.17 -0.99 0.70 0.21 0.94 0.007
ANTS 241.4457 45.1762 1398 -1.10 0.59 1.04 0.42 0.52 2.01 0.000
APSA 237.0147 46.6707 31 2.59 5.09 -0.68 0.38 0.41 2.35 0.006
ARLC 237.8423 48.1616 17 2.19 2.58 -1.03 0.49 0.53 1.78 -0.009
ARLI 237.8581 48.1741 23 1.94 1.53 -1.90 0.27 0.27 1.90 0.001
ARLN 239.8167 45.7082 120 -0.10 1.19 -2.26 0.30 0.20 0.63 0.002
ARLO 237.8456 48.1703 20 2.06 3.83 0.70 0.79 0.98 3.53 -0.046
ATHE 241.5291 45.8126 549 -1.06 0.57 -2.71 0.18 0.21 2.56 0.014
AULT 237.3141 48.3415 0 2.13 1.49 -0.82 0.52 0.60 5.29 0.024
AVI2 237.7509 47.6857 0 2.66 2.50 -0.21 0.32 0.37 1.36 -0.047
B059 238.5744 47.7354 239 1.59 2.03 -0.02 0.31 0.35 1.44 0.034
B197 237.2451 47.5007 113 3.46 5.27 1.89 0.84 0.61 2.30 0.007
B317 240.2725 46.5775 221 -0.57 1.18 -3.93 0.16 0.19 0.65 -0.005
B340 240.6996 45.9445 88 -0.89 0.41 -2.96 0.21 0.25 1.71 0.027
B407 242.9944 44.0196 649 -2.27 -0.53 -0.73 0.39 0.51 2.62 0.037
BATT 237.4528 45.7810 64 1.42 5.34 4.30 0.29 0.35 1.91 -0.079
BAYV 237.5693 48.4719 17 0.87 3.57 24.92 1.68 1.81 72.00 -0.004
BCRK 243.6355 45.4931 1409 -1.10 -0.31 -1.60 0.25 0.29 1.06 -0.002
BECK 240.8127 46.0614 417 -1.36 0.45 -1.76 0.48 0.42 1.48 0.032
BEEC 240.9640 44.5350 1137 -1.36 1.50 -0.10 0.35 0.43 1.51 -0.082
BEND 238.6848 44.0572 1095 -1.23 2.87 -1.76 0.17 0.17 0.56 0.001
BIGD 241.0112 47.9333 493 -0.21 0.43 0.05 0.27 0.28 1.03 0.003
BIGH 241.4698 45.5995 1149 -1.18 0.58 -3.18 0.33 0.24 1.16 -0.001
BIRD 238.1408 48.5387 42 2.01 2.34 23.03 0.58 0.79 56.51 -0.058
BLAP 237.4654 48.7912 25 2.49 2.58 0.90 0.49 0.50 2.08 0.025
BM31 238.3405 48.2732 142 1.79 1.42 -5.49 0.57 0.70 2.34 -0.045
BNDR 240.4358 46.2475 602 -0.44 1.29 -3.99 0.51 0.59 5.76 0.047
BNRS 243.7417 48.7313 693 -0.07 -0.75 -4.60 0.51 0.65 2.24 -0.060
BOAT 237.4207 48.5483 0 2.92 3.07 19.35 0.65 1.47 62.80 0.004
BOUN 237.0042 49.0776 0 3.02 3.40 -13.86 0.82 0.85 80.60 -0.032
BOVL 243.5980 46.8568 855 -0.11 -0.20 -5.54 0.56 0.69 2.39 -0.065
BPKT 239.6729 46.8832 564 0.27 0.92 -0.81 0.52 0.55 2.21 0.020
BREW 240.3174 48.1315 238 -0.04 0.66 -1.36 0.13 0.13 0.59 0.001
C033 240.1894 47.2416 370 0.21 0.88 -2.13 0.25 0.31 1.12 -0.010
C10X 243.6398 45.3118 702 0.23 -0.81 1.35 0.52 0.63 2.54 -0.023
C334 242.4308 46.4857 693 -0.66 1.03 -4.27 0.57 0.71 2.38 -0.059
CAMB 243.3066 44.5553 796 -2.31 0.12 -0.54 0.31 0.38 1.35 -0.010
CAPS 237.4010 48.5133 38 3.63 2.99 4.35 0.68 0.84 3.34 -0.018
CBL1 240.4510 45.3441 644 -1.34 1.31 -1.43 0.21 0.23 0.87 0.017
CC25 241.4110 46.9729 428 -0.78 0.47 -0.80 0.18 0.20 0.70 -0.009
CHAS 237.0090 45.5244 35 1.85 5.56 1.27 0.37 0.46 2.83 -0.113
CHCM 237.2241 48.0106 20 3.20 3.63 -1.06 0.31 0.27 0.80 0.000
CHEL 240.0101 47.8316 345 0.47 1.14 -3.40 0.24 0.24 0.86 0.006
CHWK 237.9916 49.1566 174 1.24 1.69 0.41 0.17 0.16 0.49 -0.003
CLCC 237.4246 45.3260 107 1.14 5.49 -0.75 0.22 0.25 0.90 -0.012
CLF2 237.7560 45.5402 187 0.43 3.89 -4.34 0.20 0.23 11.80 0.040
CLFH 237.6390 45.2961 74 1.18 4.78 -3.68 0.86 0.28 13.70 0.005
CNCR 238.2507 48.5387 55 1.50 1.62 -1.84 0.22 0.21 0.58 0.004
CNID 243.6012 44.8243 1110 -1.48 0.18 -2.94 0.45 0.56 1.92 -0.047
COEU 243.2036 47.7432 675 -0.81 -0.74 -2.85 0.41 0.46 1.78 -0.013
COLR 237.1697 44.2076 156 -0.03 4.73 -3.79 0.41 0.44 16.83 -0.000
COLV 242.0967 48.5448 486 -0.04 -0.15 1.59 0.18 0.18 0.58 0.003
COUG 237.7392 46.0592 151 0.79 3.08 1.90 0.59 0.68 1.36 -0.011
COUP 237.3144 48.2173 20 3.20 3.11 -0.73 0.43 0.37 1.42 0.000
COVE 242.1799 45.2968 845 -1.03 -0.22 -4.41 0.67 0.87 2.91 -0.074
CPUD 239.6858 47.4302 186 0.17 1.03 -2.67 0.23 0.23 1.07 0.001
CPXX 237.7435 46.8401 533 2.04 3.67 -1.51 0.23 0.22 0.83 0.000
CRWN 241.0145 47.9714 463 -0.28 0.31 -1.41 0.24 0.29 0.99 0.017
CSHR 238.2676 46.8707 2881 0.90 3.19 -0.20 0.50 0.31 0.57 0.005
CSTL 237.0811 46.2833 0 2.11 5.63 -1.22 0.46 0.56 2.98 -0.054
CTHS 241.6178 47.1272 532 -0.53 0.47 -2.08 0.21 0.25 0.90 -0.066
CUGR 237.7646 44.1188 499 -0.01 5.67 -7.88 1.06 1.26 5.02 0.049
CUPO 237.9762 44.1907 968 -2.88 5.64 -3.47 0.40 0.43 4.41 -0.033
CW05 238.4495 45.7105 86 0.35 3.62 -2.38 0.19 0.22 0.84 0.001
D405 243.7856 45.8816 1037 -1.51 -0.12 -1.67 0.99 1.15 2.79 0.032
D639 240.1774 45.8133 95 -0.31 1.35 -2.49 0.18 0.20 0.73 0.013
DALL 238.8248 45.6178 46 0.05 2.72 -2.29 0.26 0.22 0.94 0.005
DARK 241.6380 45.2735 1114 -1.84 0.07 -0.19 0.56 0.42 1.12 -0.020
DBL1 237.4537 47.9675 0 6.92 4.83 2.11 2.43 3.19 11.53 0.087
DBLF 237.4537 47.9674 0 6.92 4.83 2.11 2.43 3.19 11.53 0.087
DRAO 240.3750 49.3226 541 -0.08 0.53 -0.03 0.10 0.08 0.57 0.002
DRYF 240.6398 47.6124 493 -0.23 0.68 -2.42 0.19 0.21 5.32 -0.010
DVPT 241.8522 47.6561 727 -0.15 0.31 -1.69 0.25 0.28 0.90 0.011
DWH1 237.9198 47.7741 109 1.62 2.96 -0.15 1.18 1.19 1.48 -0.002
E040 239.8203 45.2433 862 -0.80 1.83 -2.93 0.27 0.33 1.09 -0.026
E262 242.0759 46.7946 424 -0.57 -0.32 -1.93 0.45 0.54 1.75 -0.018
E518 239.4079 47.5589 311 0.59 1.91 0.41 0.77 1.02 3.30 -0.075
EBAS 240.7023 45.7715 209 -1.35 1.08 -0.40 0.47 0.42 1.08 0.002
EDEN 242.4865 45.9086 996 2.70 -3.25 -2.96 0.41 0.93 1.84 -0.014
ELGN 242.0826 45.5333 799 -1.30 0.59 -2.21 0.37 0.45 1.65 0.019
ELKF 242.2978 45.9370 1473 -2.04 -0.02 0.68 0.51 0.62 2.14 -0.023
ELKR 237.6548 46.3009 1319 -1.00 7.61 2.83 1.42 1.77 4.96 -0.108
ENTR 242.7119 45.4313 1125 -1.30 0.14 -0.60 0.23 0.23 0.83 0.004
