SUMMARY OF GPS VELOCITIES

This file gives the GPS velocities used and the fits for the model in which permanent strain rates are
allowed in 8 of the blocks.
  
* in first column indicates velocity not used in solution
SITE = Site code
SRCE = Velocity source code (see Table 1)
BLCK = Block code (see Table 3) 
POLE = Pole this site constrains
Longit. = Longitude of site
Latit. = Latitude of site
Ve = East velocity from original source
Vn = North velocity from original source
Se = East velocity sigma from original source
Sn = North velocity sigma from original source
Sne = North-East correlation from original source
Enet = East reference frame adjustment 
Nnet = North reference frame adjustment 
Eref = East velocity in NOAM reference frame
Nref = North velocity in NOAM reference frame
Eela = East velocity from elastic strain
Nela = North velocity from elastic strain
Erot = East velocity from block rotation
Nrot = North velocity from block rotation
Estr = East velocity from permanent strain rate
Nstr = North velocity from permanent strain rate
Eres = East residual velocity
Nres = North residual velocity
Vres = Total residual velocity
Vsig = Velocity uncertainty in direction of Vres
R/S = Vres / Vsig

 SITE     SRCE BLCK POLE  Longit.   Latit.     Ve     Vn     Se     Sn    Sne    Enet   Nnet   Eref   Nref   Eela   Nela   Erot   Nrot   Estr   Nstr   Eres   Nres   Vres   Vsig    R/S
 0027_GPS CMM3 MOJA PO11  241.854   34.754  -13.4   16.5    1.2    1.1  0.0450    0.3    0.0  -13.8   16.6   -4.3    5.5   -9.9   11.6    0.3   -0.6    0.1    0.0    0.1    1.2    0.0
 0048_GPS CMM3 SGAB PO10  241.745   34.503  -23.4   22.9    1.1    1.1 -0.0190    0.3    0.0  -23.8   22.9    5.9   -6.2  -29.0   26.6    0.1    0.6   -0.9    2.0    2.2    1.1    1.9
 0094_GPS CMM3 VENT PO19  241.239   34.146  -27.5   32.4    1.2    1.3 -0.0410    0.3    0.0  -27.9   32.5    0.9   -1.2  -29.9   31.2    1.0   -0.7    0.0    3.1    3.1    1.3    2.5
 0101     JF99 SNEV PO04  237.548   39.028   17.8  -33.1    2.8    2.2  0.0098   23.7  -43.1   -5.8   10.1   -0.8    1.1   -9.6    9.0    0.0    0.0    4.6    0.0    4.6    2.8    1.6
 0102     JF99 ECCR PO15  236.966   39.188    7.9  -24.8    3.0    2.3 -0.0582   24.2  -42.3  -16.2   17.5   -1.6    1.6  -11.7   16.1    0.0    0.0   -2.9   -0.3    2.9    3.0    1.0
 0102_GPS CMM3 VENT PO19  240.736   34.566  -29.0   24.9    1.3    1.2  0.0520    0.3    0.0  -29.4   24.9    1.9   -3.8  -29.4   31.7   -0.9   -1.7   -1.0   -1.3    1.7    1.2    1.3
 0103     JF99 WCCR PO17  236.232   39.211    0.6   -9.4    2.8    2.2  0.0109   24.5  -41.2  -23.9   31.8   -5.8    7.9  -15.1   23.2    0.0    0.0   -3.0    0.7    3.1    2.7    1.1
 0104     JF99 SNEV PO04  236.799   39.795   10.2  -32.0    3.2    2.4 -0.1160   25.2  -42.1  -15.0   10.0   -1.0    1.5   -9.1    9.3    0.0    0.0   -4.9   -0.8    4.9    3.2    1.5
*0105     JF99 WCCR PO17  236.165   39.777   -2.4  -14.5    2.9    2.2  0.0178   25.5  -41.1  -27.9   26.6   -3.2    3.3  -14.4   23.3    0.0    0.0  -10.2    0.1   10.2    2.9    3.5
*0106     JF99 SNEV PO04  236.477   40.460    3.1  -30.9    6.7    3.8  0.1781   26.4  -41.6  -23.2   10.7   -0.1    1.1   -8.7    9.4    0.0    0.0  -14.4    0.2   14.4    6.7    2.1
*0108     JF99 SNEV PO04  236.507   40.815   21.8  -35.3    7.6    4.6 -0.3232   26.9  -41.6   -5.1    6.4    0.2    0.8   -8.5    9.4    0.0    0.0    3.2   -3.9    5.0    6.9    0.7
 0114     JF99 PACI PO02  236.321   38.891   -3.6   -5.1    6.2    3.6 -0.3793   24.0  -41.4  -27.7   36.3    3.8   -5.7  -27.7   40.1    0.0    0.0   -3.7    1.8    4.1    6.4    0.7
 0149_GPS CMM3 ANZA PO23  241.909   34.161  -23.7   24.8    2.9    2.9 -0.1340    0.3    0.0  -24.1   24.8    1.5   -4.8  -26.4   31.2   -0.6   -1.7    1.5    0.2    1.5    2.9    0.5
*01CF     JF99 WCCR PO17  236.643   38.998   -3.1  -10.7   19.8    8.9  0.0885   24.0  -41.8  -27.1   31.2   -3.1    3.1  -15.3   22.9    0.0    0.0   -8.7    5.2   10.1   17.2    0.6
*01EE     JF99 WCCR PO17  236.386   39.354    2.7  -14.8    8.8    4.2 -0.1820   24.7  -41.4  -22.0   26.6   -3.4    3.7  -14.9   23.1    0.0    0.0   -3.8   -0.2    3.8    8.8    0.4
*01FD     JF99 WCCR PO17  236.192   39.422   -1.0   -5.2   12.8    5.0 -0.0473   24.9  -41.2  -25.9   36.0   -4.8    6.0  -14.9   23.3    0.0    0.0   -6.2    6.8    9.2    9.6    1.0
 0217     WUSC NOAM PO01  244.687   32.678   -4.7   12.9    5.9    5.5 -0.1688    0.7   -0.1   -5.4   13.0   -7.0    5.6    0.0    0.0    0.0    0.0    1.6    7.4    7.5    5.3    1.4
*0220     JF99 WEBR PO20  239.634   40.799   23.1  -35.4    6.6    3.1  0.1976   25.3  -46.1   -2.2   10.8    0.0    0.2   -5.6    5.6   -1.5   -1.2    4.8    6.1    7.8    5.1    1.5
 0225     WUSC ANZA PO23  244.275   32.648  -19.9   26.6    1.9    2.0  0.0770    0.7   -0.1  -20.6   26.6    3.2   -4.4  -27.4   29.6    0.3    1.4    3.4    0.0    3.4    1.9    1.8
