PREDICTED SLIP VECTORS ON FAULTS

The following calculations are made at points mid-way between each pair of nodes on the faults.

 Longit. = Longitude of site
 Latit. = Latitude of site
 Ve = East velocity of fault slip vector
 Vn = North velocity of fault slip vector
 Se = East velocity sigma of fault slip vector
 Sn = North velocity sigma of fault slip vector
 Sne = North-East correlation of fault slip vector
 Fault_name = name of fault segment
 FIXD = code for fixed block (see README) 
 MOVG = code for moving block (see README) 
 V = Total slip rate 
 Vsig = Uncertainty in direction of V
 Az. = Azimuth of slip vector
 Az_sig = uncertainty in Az.
 Phi = coupling fraction
 Phi_sig = uncertainty in phi
 Vp = fault-parallel slip rate (positive is right-lateral)
 Vp_sig = uncertainty in Vp
 Vn = fault-normal slip rate (positive is extensional)
 Vn_sig = uncertainty in Vp
 Str. = strike of fault segment (facing this azimuth, fault dips to observer's right)
 Dip = dip angle of fault segment

Fault name abbreviations:
 AL - Airport Lake
 BSPR - Bartlett Springs
 Bwatr - Blackwater
 Clco - Calico
 DS - Desert Springs
 DV - Death Valley
 FC - Furnace Creek
 FL - Fish Lake
 HM - Hunter Mountain
 Hos - Hosgri
 Hwrd - Hayward
 IM - Inyo Mountains
 ImpVal - Imperial Valley
 Ing - Inglewood
 LgnaSal - Laguna Salada
 Ludlo - Ludlow
 Macama - Ma'acama
 NCalv - North Calaveras
 Newp = Newport
 P - Panamint Valley
 Pgsah - Pigsah
 Pkfd - Parkfield
 RC - Rose Canyon
 SA - San Andreas
 Salt - Salton
 SF - San Francisco
 SGabMoj - San Gabriel / Mojave
 SGr - San Gregorio
 SNGV_thr - Great Valley thrust belt
 SV - Saline Valley
 WM - White Mountain
 Yuc - Yucaipa

 Longit.  Latit.     Ve    Vn      Se     Sn    Sne Fault_name MOVG FIXD     V    Vsig    Az.  Az_sig  Phi  Phi_sig  Vp  Vp_sig  Vn  Vn_sig Str.   Dip
 245.628  31.664   28.5  -30.6    0.7    0.7  0.215 SA_LgnaSal NOAM EBAJ   41.8    0.6  137.0    0.9  0.973  0.105  41.7   0.6   2.7   0.7 320.6  85.0
 245.105  32.107   28.0  -31.0    0.7    0.5  0.050 SA_LgnaSal NOAM EBAJ   41.8    0.6  137.9    0.9  0.599  0.087  41.2   0.6  -7.6   0.6 307.5  85.1
 244.709  32.303    0.6    0.0    0.9    1.0  0.371 SA_LgnaSal ANZA EBAJ    0.6    0.9   91.6   78.3  0.225  0.069   0.6   0.9   0.1   1.1 283.8  85.1
 244.259  32.590    0.4   -0.7    1.0    0.9  0.353 SA_LgnaSal ANZA EBAJ    0.8    0.8  153.7   75.8  0.225  0.069   0.8   0.8  -0.3   1.1 314.5  85.0
 242.263  40.371   -1.5    2.7    0.3    0.3 -0.375 FL_FC_DV   WEBR EBNR    3.1    0.3  -28.0    5.9  1.000  0.125   1.8   0.2   2.5   0.4 206.3  70.1
 241.760  38.867   -3.0    4.5    0.3    0.3 -0.013 FL_FC_DV   WEBR EBNR    5.4    0.3  -33.8    3.1  1.000  0.125   4.1   0.3   3.4   0.3 185.6  71.1
 241.862  37.701   -0.9    4.6    0.6    0.3  0.095 FL_FC_DV   INYO EBNR    4.7    0.3  -11.3    7.2  1.000  0.125   4.4   0.4  -1.6   0.6 148.5  71.0
 242.325  37.203    0.0    3.0    0.5    0.3 -0.117 FL_FC_DV   PANA EBNR    3.0    0.3   -0.1   10.4  0.767  0.188   2.2   0.5  -2.0   0.4 137.7  70.0
 242.824  36.785   -0.6    2.4    0.4    0.4 -0.364 FL_FC_DV   PANA EBNR    2.5    0.4  -13.8   10.1  0.533  0.252   2.1   0.5  -1.3   0.3 134.5  70.3
 243.182  36.245   -1.4    2.0    0.5    0.5  0.136 FL_FC_DV   PANA EBNR    2.4    0.4  -34.3   11.1  0.533  0.252   2.3   0.5   0.8   0.5 165.5  70.5
 243.408  35.760   -2.1    1.7    0.6    0.6  0.498 FL_FC_DV   PANA EBNR    2.7    0.4  -49.8   14.9  0.533  0.252   2.6   0.4   0.7   0.7 146.0  70.2
 238.081  37.894   -0.4    4.0    1.8    1.5  0.932 SNGV_thr   GVTB SNEV    4.0    1.3   -5.6   28.8  0.000  0.240   3.4   0.4  -2.0   2.3 143.7  59.4
 238.364  37.584    0.1    3.6    1.4    1.2  0.895 SNGV_thr   GVTB SNEV    3.6    1.2    1.4   24.1  0.000  0.240   2.9   0.4  -2.2   1.8 144.3  60.0
 238.665  37.269    0.6    3.3    1.0    0.9  0.815 SNGV_thr   GVTB SNEV    3.3    1.1   10.6   18.5  0.000  0.240   2.2   0.4  -2.5   1.3 141.9  60.0
 239.424  36.520    2.1    2.4    0.5    0.4  0.067 SNGV_thr   GVTB SNEV    3.2    0.5   40.3    8.1  0.000  0.240   0.5   0.4  -3.1   0.5 140.0  60.1
